Variable/Date     days since policy start to peak of deaths,GER,SG,ZH,AU,CA,JP,AE,US,ZA,EG,SK,PIROR,COUNT,Mean,SD.S,Median,Count,Min,Max,RSQ,SLOPE
D /D +R,0.05,0.01,0.06,0.02,0.13,0.07,0.03,0.00,0.05,0.18,0.03,,0,,,,,,,,
Max - Min,101,99,79,100,119,121,94,111,72,113,107,,0,,,,,,,,
Max,31,17,68,39,49,77,21,51,8,44,55,,0,,,,,,,,
Min,-70,-82,-11,-61,-70,-44,-73,-60,-64,-69,-52,,0,,,,,,,,
Count,96,115,122,99,103,103,130,78,128,66,92,,0,,,,,,,,
Median,3,-33,12,18,7,4,1,16,-6,8,0,,0,,,,,,,,
SD.S,29,35,18,29,28,28,22,28,10,31,26,,0,,,,,,,,
Mean,-6,-29,15,6,-2,7,-8,7,-6,4,-5,,0,,,,,,,,
Days elapsed since wuhan first death to country fisrt death,59,71,0,50,59,33,65,49,76,58,41,,0,,,,,,,,
Testing 1 - 0 (not done) 1 (done) 9 (NA/Missing),,,-1,,-44,,-47,,-21,,-28,1,4,-28.2,18.7,-28,5,-47,-1,6.27%,0
Testing Only SICK,-42,-60,-11,-38,-44,-29,,,-21,,-28,0,7,-34.1,15.2,-33.5,8,-60,-11,1.93%,0
Testing Only SUSPECTED,-42,-80,-4,-38,-44,22,,,,-40,-14,,7,-30,30.8,-39,8,-80,22,0.63%,0
Testing Airports,,-58,3,-38,-25,22,0,-43,-11,-46,7,0,9,-18.9,26.9,-18,10,-58,22,0.05%,0.001
"Testing:  All Public Transportation - CRUISE SHIPS ALLOWED, ",,-58,3,,,,,,,,-5,1,2,-20,33.2,-5,3,-58,3,75.14%,0
Testing: Building Entry,,-9,,,,,0,,-11,,4,0,3,-4,7.2,-4.5,4,-11,4,0.59%,-0.001
Testing: Communities,5,2,-11,-38,-39,,15,,4,,5,0,7,-7.1,20.6,3,8,-39,15,22.02%,0
NOTES: ,5,-80,-4,-38,-44,0,-53,,-12,,-28,0,8,-28.2,28.3,-28,9,-80,5,9.82%,-0.003
Isolation: o -no precautions; 1 -implementd,,1,12,,-15,,,,,,-9,0,3,-2.8,11.8,-4,4,-15,12,21.55%,0.001
Isolation: Only infected,-42,,12,-38,,-44,-53,-42,-12,-6,-48,,8,-30.3,22.5,-42,9,-53,12,25.17%,0.001
Isolation: Self-quarantine,11,-33,12,-38,-48,-9,-53,7,-12,22,-19,0,10,-14.5,25.9,-12,11,-53,22,6.99%,0
Isolation: Lockdown,5,16,12,19,7,54,-12,25,-12,,,2,9,12.7,20.1,12,9,-12,54,0.00%,0.001
"Isolation: Crowd control in social distancing, (cars, min distance, nos)",13,-59,2,12,13,54,-12,16,-12,,-48,0,9,-2.1,32.8,7,10,-59,54,19.62%,0
Isolation: Others,31,,12,-38,,,-53,10,-12,,-19,3,6,-9.9,29.7,-12,7,-53,31,9.65%,0.001
NOTES: ,5,-39,2,-38,7,-9,-53,6,-12,,-9,2,9,-14,21.7,-9,10,-53,7,20.88%,#DIV/0!
Lock Down - 0 - not implemented; 1 affected community; ,,,,,-48,,,,,,,,1,-48,#DIV/0!,-48,1,-48,-48,#DIV/0!,0.001
Types Lockdown: Affected Community,,,-10,12,-1,,15,,-12,23,,,6,4.5,14.3,5.5,6,-12,23,10.43%,0
Types of Lockdown: City,,16,12,19,,54,4,,-12,,25,4,6,16.9,20.3,16,7,-12,54,8.97%,0
Types of Lockdown: State,10,16,,19,7,54,4,19,-12,,,,8,14.6,18.9,13,8,-12,54,0.03%,0
Types of Lockdown: Country,5,13,,19,17,54,4,,-12,10,,0,8,13.8,18.9,11.5,8,-12,54,0.90%,0.001
Closure of parks,6,,12,19,15,54,4,17,-11,31,,4,9,16.3,18.3,15,9,-11,54,11.15%,0.001
